NOMBRE,TIPO_ENTIDAD,RELACIONADO_CON,TIPO_RELACION,PUESTO
"1832 ASSET MANAGEMENT, L.P.",empresa,TC ENERGY CORPORATION ,shareholder,
"TD ASSET MANAGEMENT, INC.",empresa,TC ENERGY CORPORATION ,shareholder,
DEUTSCHE ASSET & WEALTH MANAGEMENT,empresa,TC ENERGY CORPORATION ,shareholder,
"BEUTEL GOODMAN & CO., LTD.",empresa,TC ENERGY CORPORATION ,shareholder,
NORGES BANK INVESTMENT MANAGEMENT,empresa,TC ENERGY CORPORATION ,shareholder,
Carlos António Vasconcelos Mota dos Santos,persona,"MOTA-ENGIL, SGPS, S. A.",boardmember,presidente
António Manuel Queirós Vasconcelos da Mota,persona,"MOTA-ENGIL, SGPS, S. A.",boardmember,vicepresidente
Gonçalo Nuno Gomes de Andrade Moura Martins,persona,"MOTA-ENGIL, SGPS, S. A.",boardmember,vicepresidente
Jingchun Wang,persona,"MOTA-ENGIL, SGPS, S. A.",boardmember,vicepresidente
Manuel António da Fonseca Vasconcelos da Mota,persona,"MOTA-ENGIL, SGPS, S. A.",boardmember,
José Carlos Barroso Pereira Pinto Nogueira,persona,"MOTA-ENGIL, SGPS, S. A.",boardmember,
Maria Paula Queirós Vasconcelos Mota de Meireles,persona,"MOTA-ENGIL, SGPS, S. A.",boardmember,
João Pedro dos Santos Dinis Parreira,persona,"MOTA-ENGIL, SGPS, S. A.",boardmember,
Ping Ping,persona,"MOTA-ENGIL, SGPS, S. A.",boardmember,
Feng Tian,persona,"MOTA-ENGIL, SGPS, S. A.",boardmember,
Xiao Di,persona,"MOTA-ENGIL, SGPS, S. A.",boardmember,
Leong Vai Tac,persona,"MOTA-ENGIL, SGPS, S. A.",boardmember,
Ana Paula Chaves e Sá Ribeiro,persona,"MOTA-ENGIL, SGPS, S. A.",boardmember,
Francisco Manuel Seixas da Costa,persona,"MOTA-ENGIL, SGPS, S. A.",boardmember,
Paulo Sacadura Cabral Portas,persona,"MOTA-ENGIL, SGPS, S. A.",boardmember,
Sofia Salgado Cerveira Pinto,persona,"MOTA-ENGIL, SGPS, S. A.",boardmember,
"FM – SOCIEDADE DE CONTROLO, SGPS, S. A. - La Familia Mota",empresa,"MOTA-ENGIL, SGPS, S. A.",shareholder,
"CHINA COMMUNICATIONS CONSTRUCTION CO., LTD.",empresa,"MOTA-ENGIL, SGPS, S. A.",shareholder,
